Date,Open,High,Low,Close,Volume,Turnover
26-05-2008,898,898,551.35,604.75,3972485,2.48124E+14
27-05-2008,624.7,639,580.3,593.15,1751063,1.0619E+14
28-05-2008,561.65,621.9,561.65,608.15,1652355,1.00588E+14
29-05-2008,619.4,619.4,576,599.45,669269,4.02217E+13
30-05-2008,605.4,607,538,571.7,1262117,7.13794E+13
02-06-2008,605.5,615,570.7,580.8,206640,1.23633E+13
03-06-2008,596,602,555.15,579.7,157283,9.0568E+12
04-06-2008,597.85,597.85,547.5,552.1,326450,1.83999E+13
05-06-2008,553,588.8,532.4,562.4,238915,1.3396E+13
06-06-2008,567,574.7,544.4,568.8,73920,4.1719E+12
09-06-2008,575,575,524,548.8,321199,1.75318E+13
10-06-2008,575.5,575.5,547,550.4,58118,3.20567E+12
11-06-2008,560,560,528,530.5,87793,4.70647E+12
12-06-2008,511,527,510.7,519.45,50729,2.63206E+12
13-06-2008,514.25,525,501.2,505.9,123934,6.30292E+12
16-06-2008,510,518,489.45,494.65,61592,3.10082E+12
17-06-2008,490.45,510,482.6,506.7,71476,3.57679E+12
18-06-2008,510.1,531,500,516.45,105505,5.4273E+12
19-06-2008,500.2,527,500.2,512.55,140483,7.26215E+12
20-06-2008,507,519,493.6,512.1,76656,3.88253E+12
23-06-2008,500,514.9,499,502.3,89888,4.52903E+12
24-06-2008,495,506,471.15,479,174131,8.64216E+12
25-06-2008,450,502,450,497.3,72533,3.55241E+12
26-06-2008,519.9,519.9,469.05,488.95,185234,8.8929E+12
27-06-2008,465.9,476.85,435,453.95,260609,1.18048E+13
30-06-2008,454,459.95,445.35,450.35,115006,5.20578E+12
01-07-2008,450,457,433,447.1,170197,7.59358E+12
02-07-2008,430.15,457.95,430.15,453.5,245296,1.10215E+13
03-07-2008,445,448,390.15,408.6,308168,1.31925E+13
04-07-2008,403.5,433,401,421,62087,2.61115E+12
07-07-2008,425,441,425,435.5,130708,5.67876E+12
08-07-2008,418.1,439.9,414,434.5,262122,1.11291E+13
09-07-2008,446,456.9,440,451.75,104747,4.73037E+12
10-07-2008,450,532,441.05,498.45,247021,1.15648E+13
11-07-2008,508,508.1,482,499.95,135338,6.76021E+12
14-07-2008,515,515,481,501.65,110414,5.47624E+12
15-07-2008,480.35,497.8,477,479.85,44758,2.17281E+12
16-07-2008,500,500,444.15,455,412815,1.86061E+13
17-07-2008,475,484.95,461,467.6,124802,5.8075E+12
18-07-2008,461,473,455,464.1,71613,3.33003E+12
21-07-2008,474,505,470,498.9,323713,1.5895E+13
22-07-2008,490.15,504,485.05,495.05,25042,1.24053E+12
23-07-2008,514.15,529,498,519,116969,5.98842E+12
24-07-2008,506.2,534,506.2,520.65,26647,1.38896E+12
25-07-2008,503.25,525,503.25,509.95,54204,2.80121E+12
28-07-2008,500.25,524.7,500.25,515.55,30877,1.58954E+12
29-07-2008,506,515,501.35,509.4,9914,5.04107E+11
30-07-2008,483.95,524.95,483.95,519.75,8670,4.46995E+11
31-07-2008,501.15,539,494.6,533.7,44391,2.34233E+12
01-08-2008,516,532.9,507,517.65,238858,1.24156E+13
04-08-2008,510.05,524,510,519,14815,7.65105E+11
05-08-2008,505.7,530,501,526.6,585044,3.02547E+13
06-08-2008,525.1,571.4,525.1,562.25,107023,5.92843E+12
07-08-2008,566,574.4,545,560.05,55986,3.12125E+12
08-08-2008,551.2,569,548,551.9,15983,8.90223E+11
11-08-2008,554,577,552,569.35,24326,1.38763E+12
12-08-2008,569.85,574.9,548.5,553.35,16393,9.22376E+11
13-08-2008,543,575,542.25,570.9,27582,1.55189E+12
