Date,Open,High,Low,Close,Volume,Turnover
01-01-1996,83,83,83,83,100,830000000
02-01-1996,83,83.95,80.6,80.6,700,5795000000
03-01-1996,82,82.9,82,82.7,400,3294000000
04-01-1996,82.5,82.5,82.5,82.5,200,1650000000
05-01-1996,80,80,79,79,200,1590000000
08-01-1996,79,80,77.55,77.55,900,7143000000
09-01-1996,77.15,77.5,76,76,500,3850500000
10-01-1996,80,80,74.6,77.95,600,4596000000
11-01-1996,75,76,74.5,75.5,1400,10533000000
12-01-1996,75,76,74.25,75.5,800,6023000000
15-01-1996,75,75,75,75,100,750000000
16-01-1996,74,75,73.05,73.15,600,4424000000
17-01-1996,73.15,73.05,71.05,73,600,4361500000
18-01-1996,73,70.5,70,70.5,200,1405000000
19-01-1996,69.55,69.55,69,69,400,2773000000
22-01-1996,67,67,64.6,64.95,1000,6553000000
23-01-1996,64.95,70,64.05,68.65,1300,8662000000
24-01-1996,65,65.25,64,64,1300,8397500000
25-01-1996,64,62,60.55,60.6,900,5524000000
29-01-1996,60.6,62,60,60.8,900,5524000000
30-01-1996,60.8,64.6,61.5,63,1500,9521000000
31-01-1996,61.5,66,60.5,66,1300,8210000000
01-02-1996,66,69,66,69,700,4763500000
02-02-1996,75.9,75.9,72,75.6,800,5997000000
05-02-1996,79.25,79.5,77.75,79.5,1900,14997500000
06-02-1996,79.5,82.5,78.2,79.35,2400,19251000000
07-02-1996,75,76,74,76,1100,8263000000
08-02-1996,76.95,78.5,76.25,78.25,900,6937000000
09-02-1996,80,81,79,79.95,2500,20054500000
12-02-1996,85,88.25,80,86,4200,36496500000
13-02-1996,86,89.95,84,89.95,1200,10314000000
14-02-1996,92,92.75,85,89.95,2600,23336000000
15-02-1996,89,90,86,88,1800,15862500000
16-02-1996,87.5,87.5,84,84,800,6810000000
19-02-1996,83,84.75,83,83.25,700,5879000000
20-02-1996,83,83,82,82,1600,13175000000
22-02-1996,80,87,80,84.15,1400,11777500000
23-02-1996,84,84,82,82.95,2400,19917500000
26-02-1996,85,85,81,81,2800,23096500000
27-02-1996,81,80.25,78,78.45,1300,10261000000
28-02-1996,80,80,77,77.4,2900,22642000000
29-02-1996,75,75.55,72,72.3,2500,18393000000
01-03-1996,70,71.95,66.6,70.55,2800,19504500000
04-03-1996,68,69.95,67.45,69.25,3100,21306000000
06-03-1996,70,71,69,69.05,1800,12571000000
07-03-1996,69,71.2,69,70,2700,18916000000
08-03-1996,70,69.8,67,67,2100,14330000000
11-03-1996,68,68,65.5,66.4,1200,8005000000
12-03-1996,65.5,67,64,67,2400,15800000000
13-03-1996,67.95,68.25,67.2,68.25,2400,16240500000
14-03-1996,69,69.5,68,69.5,600,4125500000
15-03-1996,69.5,70,67.5,67.5,1100,7569500000
18-03-1996,67.5,67.5,65.05,65.05,600,3963500000
19-03-1996,65.05,65,63.05,63.45,1600,10267000000
21-03-1996,64,65,64,65,1600,10313000000
22-03-1996,65,65,63,63.05,2400,15380500000
25-03-1996,63.5,64.45,63.5,63.5,900,5749500000
26-03-1996,63,63,61,61,1400,8632000000
27-03-1996,64,64,61,61.75,4100,25361500000
28-03-1996,61.75,63.75,63,63.75,1000,6325000000
29-03-1996,63.75,67,64,65.95,2500,16372500000
01-04-1996,65.5,65.5,64.05,64.95,500,3239500000
02-04-1996,66.7,66.75,65,65.1,2000,13145500000
03-04-1996,67,67,65.05,65.25,5800,38425000000
04-04-1996,64,65,63,65,2500,16119500000
08-04-1996,65,65.55,63,63.05,4400,28362000000
09-04-1996,65,65,58,58.9,8400,51290500000
10-04-1996,58.9,62,60.05,61.95,6300,38369000000
11-04-1996,61.95,63,61.25,62.7,3500,21707500000
12-04-1996,62.25,62.85,61.55,62.25,3400,21065500000
15-04-1996,62.25,62.95,62,62.35,2600,16182500000
16-04-1996,62.35,62,60.5,60.65,3800,23393500000
17-04-1996,61,64,61,63.55,3300,20955000000
18-04-1996,64,66.25,64,65.45,6500,42687500000
19-04-1996,65.45,72.3,67.5,72.25,5400,38000000000
22-04-1996,72.25,77,67.5,69.45,7000,49503500000
23-04-1996,69.45,71,68,68.8,5000,34625000000
24-04-1996,69,76.05,69,75.6,15700,1.17129E+11
25-04-1996,75.6,78.5,75,75.35,10900,83291000000
26-04-1996,75.35,79,73,76,4200,31995000000
29-04-1996,76,78,75.5,75.85,3200,24616000000
30-04-1996,75.85,79,76.7,78.4,8500,65927000000
01-05-1996,78.4,80.95,77.5,78.05,3700,29222500000
02-05-1996,78.05,81,78,79.5,3800,30464000000
03-05-1996,79.5,81.1,79.65,80,3400,27371000000
06-05-1996,75,78.1,73,75.1,4100,31185500000
07-05-1996,75.1,76,73.6,76,4100,30843000000
08-05-1996,76,77,75.1,76,700,5298500000
09-05-1996,76,78,74.5,75.5,1100,8454000000
10-05-1996,75,75.5,72.25,72.9,2000,14749500000
13-05-1996,72.9,74,72.6,73.95,1700,12462500000
14-05-1996,73.95,74,72.5,73.65,1800,13248000000
15-05-1996,73.65,73.45,70,71.05,7400,53098000000
16-05-1996,71.05,73.25,71,71.45,7200,52083500000
17-05-1996,71,71,70,70.5,3400,23896500000
20-05-1996,70.5,69,67,67,1800,12225000000
21-05-1996,67,68,65,66.3,4300,28677500000
22-05-1996,66.3,67.75,67,67.75,900,6054500000
23-05-1996,67.75,68,65,66.5,1800,11920000000
24-05-1996,66.5,68,66.5,68,1400,9480000000
27-05-1996,68,68,66.5,68,1900,12781000000
28-05-1996,68,67,64,65.25,2100,13683000000
29-05-1996,65.25,67.55,67,67.05,800,5377000000
30-05-1996,67.05,68,67.3,67.75,1100,7463000000
31-05-1996,67.75,67.8,66,67.3,1900,12756500000
03-06-1996,67.3,70,68.1,68.1,1100,7637500000
04-06-1996,68.1,69.75,68.1,68.2,2000,13765000000
05-06-1996,69,69,67,67.45,1500,10187000000
06-06-1996,67.5,68,67.3,67.9,1300,8806500000
07-06-1996,65.05,68.5,65.05,67,1800,12013000000
10-06-1996,68.25,68.25,66.5,67.85,1200,8098500000
11-06-1996,68,68,66,67.25,2300,15378000000
12-06-1996,67.05,68,65.5,66.65,2900,19408500000
13-06-1996,68.75,68.75,66.25,67.7,2900,19574000000
14-06-1996,66.5,72,66.5,70.6,4600,31832000000
17-06-1996,72.5,73,69.5,72.6,7600,54477000000
18-06-1996,72,73.2,71.05,73,7200,51865500000
19-06-1996,73,73,71.25,71.6,2200,15877500000
20-06-1996,72,72,67,70.8,3400,24099000000
21-06-1996,69,70.85,68,68.05,2300,15926000000
24-06-1996,67.8,68.25,67.5,68.1,600,4074000000
25-06-1996,68.75,68.75,66.2,67.85,4000,26909500000
