Date,Open,High,Low,Close,Volume,Turnover
01-01-1996,30.3,30.3,29.25,29.8,35000,1.0423E+11
02-01-1996,29.8,30.25,29.5,29.75,41200,1.2242E+11
03-01-1996,29.75,29.95,29.5,29.85,28400,84284500000
04-01-1996,29.85,29.8,29.4,29.65,28200,83624500000
05-01-1996,29.65,29.8,29.5,29.6,18900,55961500000
08-01-1996,29.6,29.5,29.1,29.25,23700,69498000000
09-01-1996,29.25,29.25,28,28.3,48300,1.37961E+11
10-01-1996,28.3,28.65,28.1,28.4,22600,64282000000
11-01-1996,28.4,28.8,28,28.3,31800,89919500000
12-01-1996,28.3,28.35,28,28.25,43100,1.21612E+11
15-01-1996,28.25,28.15,27.75,27.9,18100,50611500000
16-01-1996,27.9,28,27.4,27.4,35800,99076500000
17-01-1996,27.4,27.95,26.3,26.55,42900,1.15374E+11
18-01-1996,26.55,26.55,26,26.4,33000,86538000000
19-01-1996,26.4,26.3,25.35,25.55,42600,1.09794E+11
22-01-1996,25.55,25.9,25.2,25.45,35900,91660500000
23-01-1996,25.45,26,25.1,25.3,39900,1.01274E+11
24-01-1996,25.3,25.3,24.5,24.65,44900,1.1101E+11
25-01-1996,24.65,24.5,24.1,24.35,39000,94709500000
29-01-1996,24.35,24.95,23.95,24.85,31100,75869000000
30-01-1996,24.85,25.5,24.85,25.2,45200,1.14216E+11
31-01-1996,25.2,26.35,25.5,25.9,34400,89145500000
01-02-1996,25.9,28,26,27.8,42400,1.14631E+11
02-02-1996,27.8,29.95,28,29.15,81900,2.37526E+11
05-02-1996,29.15,31,29.5,29.95,90600,2.72957E+11
06-02-1996,29.95,30.5,29.5,29.75,88800,2.6641E+11
07-02-1996,29.75,29.25,28.25,28.65,58600,1.69009E+11
08-02-1996,28.65,31.5,28.85,30.45,66700,1.98094E+11
09-02-1996,30.45,36.55,33.5,36.5,172000,5.97079E+11
12-02-1996,36.5,37.95,34.5,35.1,285100,1.02506E+12
13-02-1996,36,36,33.25,34.5,145100,4.96921E+11
14-02-1996,34.5,38,35.9,37.1,246400,9.20092E+11
15-02-1996,37.1,37.7,36.7,36.85,119100,4.40873E+11
16-02-1996,36.85,36.75,35.1,35.6,139600,4.99099E+11
19-02-1996,35.6,36.5,35,35.15,129700,4.63426E+11
20-02-1996,35.15,35.15,33.05,33.65,136100,4.64313E+11
22-02-1996,33.65,34.75,34,34.25,84800,2.9076E+11
23-02-1996,34.25,35,34,34.2,68700,2.35294E+11
26-02-1996,34.2,34.75,33.75,33.85,64700,2.21691E+11
27-02-1996,33.9,34.25,33,33.95,84100,2.82885E+11
28-02-1996,33.95,34.45,33.05,33.25,42200,1.42496E+11
29-02-1996,33,33,30,30.65,127500,3.91412E+11
01-03-1996,30.65,31.5,30,31.1,73200,2.2722E+11
04-03-1996,31.1,31,30.5,30.65,64700,1.98773E+11
06-03-1996,30.65,31.5,30.8,31,36000,1.11889E+11
07-03-1996,31,31.5,30.25,30.6,48600,1.50246E+11
08-03-1996,30.6,30.7,30,30.5,38700,1.17155E+11
11-03-1996,30.5,30.45,29.75,29.95,32400,97169000000
12-03-1996,29.95,29.95,29.3,29.55,40000,1.18522E+11
13-03-1996,29.55,31,30,30.8,48600,1.47759E+11
14-03-1996,30.8,31.5,30.45,30.7,52900,1.62887E+11
15-03-1996,31,31,30,30,80700,2.43339E+11
18-03-1996,30,30.25,29.3,29.85,38800,1.15406E+11
19-03-1996,29.85,30,29,29.55,61700,1.82495E+11
21-03-1996,29.55,30.15,29.5,30.05,64300,1.92707E+11
22-03-1996,30.05,30.2,29.35,29.95,19400,57882000000
25-03-1996,29.95,30.5,29.8,30.25,41300,1.24436E+11
26-03-1996,30.25,30.8,29.8,30.45,64300,1.9409E+11
27-03-1996,30.45,31.1,30.3,31,79500,2.44619E+11
28-03-1996,31,32.75,31.3,32.1,112400,3.58737E+11
29-03-1996,32.1,33.1,32,32.45,135600,4.41723E+11
01-04-1996,32.45,33,32.4,32.9,96300,3.15363E+11
02-04-1996,32.9,34.5,32.8,34,183500,6.16769E+11
03-04-1996,34,36,34,34.9,208200,7.31791E+11
04-04-1996,34.9,34.55,33.5,34.05,113400,3.84788E+11
08-04-1996,34.05,34.7,34.1,34.5,92500,3.18451E+11
09-04-1996,34.5,34.6,33.55,33.85,121900,4.16235E+11
10-04-1996,33.85,34.6,32.4,32.85,90400,3.0198E+11
11-04-1996,32.5,33.4,32.5,33.35,63100,2.08491E+11
12-04-1996,33.35,33.85,32.8,33.5,56400,1.87591E+11
15-04-1996,34.1,34.55,33.75,34.25,98800,3.37267E+11
16-04-1996,34.2,34.35,33.6,33.75,78300,2.65534E+11
17-04-1996,33.75,35.25,34.25,35.05,154600,5.38034E+11
18-04-1996,35.5,36.95,35.05,36.55,270600,9.81469E+11
19-04-1996,37,40.25,36.25,38.45,635000,2.46309E+12
22-04-1996,40,41,37.05,37.7,564300,2.19604E+12
23-04-1996,37.7,37.9,36.3,37.1,321400,1.1965E+12
24-04-1996,38.95,40.5,38,38.45,534300,2.07927E+12
25-04-1996,39,39,36.1,36.85,333300,1.27383E+12
26-04-1996,36.85,37.95,36.25,37,203900,7.50741E+11
29-04-1996,37,37.35,36.4,36.85,135000,4.98826E+11
30-04-1996,36.85,37,35.05,35.45,270100,9.65852E+11
01-05-1996,35.45,37.75,36.1,36.25,166200,6.05968E+11
02-05-1996,36.8,36.8,35.45,35.65,117000,4.17786E+11
03-05-1996,35.65,35.7,34.9,35,177900,6.26583E+11
06-05-1996,35,35,33.5,33.8,136000,4.62403E+11
07-05-1996,33.8,34.4,33.5,34.15,182100,6.19595E+11
08-05-1996,32,35,32,34.85,161700,5.56138E+11
09-05-1996,34.85,34.95,33.8,34.05,111500,3.83561E+11
10-05-1996,34.05,33.95,32.4,33.85,137100,4.57967E+11
13-05-1996,33.85,34.25,33.5,34.2,71200,2.41474E+11
14-05-1996,34.85,34.85,33.75,34.25,119200,4.0688E+11
15-05-1996,34.25,35,34,34.8,160800,5.55146E+11
16-05-1996,34.8,36.7,35.15,35.75,267100,9.6189E+11
17-05-1996,35.5,35.5,34.75,35.3,138500,4.86956E+11
20-05-1996,34.75,34.8,34,34.05,93300,3.19328E+11
21-05-1996,34,34,33.25,33.35,164400,5.50995E+11
22-05-1996,33.35,34.2,33.7,33.75,64500,2.1888E+11
23-05-1996,34,34,33.35,33.5,36100,1.21038E+11
24-05-1996,33.5,34,33.5,33.85,47300,1.59542E+11
27-05-1996,33.85,33.85,33.25,33.4,136200,4.58239E+11
28-05-1996,33.4,34,33,33.9,139000,4.67689E+11
29-05-1996,33.9,34.5,33.95,34.45,131400,4.50138E+11
30-05-1996,35,35,33.75,34.1,80400,2.74554E+11
31-05-1996,34.1,34.3,33.7,34.15,48600,1.65348E+11
03-06-1996,34.15,35,34.15,34.5,76600,2.63945E+11
04-06-1996,34.5,34.75,33.75,34,169800,5.80694E+11
05-06-1996,34,34.5,33.9,34.05,43700,1.4878E+11
06-06-1996,34.45,34.6,34.05,34.35,62200,2.13549E+11
07-06-1996,34.2,34.45,34.05,34.35,40500,1.38829E+11
10-06-1996,34.65,34.65,34.25,34.4,86000,2.95648E+11
11-06-1996,34.7,34.7,34,34.3,105400,3.61493E+11
12-06-1996,34.5,35.45,34.4,35.1,165700,5.79031E+11
13-06-1996,35.1,38.8,35,38.75,732000,2.75938E+12
14-06-1996,39.25,41.7,39.25,40.45,903600,3.68337E+12
17-06-1996,40.5,41.3,38.5,38.7,681200,2.71897E+12
18-06-1996,38.5,39,37.5,38.3,470800,1.80438E+12
19-06-1996,39.35,39.5,37.75,38,342200,1.32019E+12
20-06-1996,37.5,38,37,37.65,298100,1.11471E+12
21-06-1996,37,37.65,36.55,36.8,236400,8.75678E+11
24-06-1996,37.1,37.1,36,36.6,193100,7.01771E+11
25-06-1996,36.75,36.8,36.1,36.4,400000,1.4605E+12
26-06-1996,38.5,40.25,38.5,39.15,1406100,5.58009E+12
27-06-1996,39.1,39.45,38.05,39.3,798200,3.1025E+12
28-06-1996,39.6,40.5,39.1,39.9,1495900,5.96478E+12
