Date,Open,High,Low,Close,Volume,Turnover
03-01-2000,15625,15625.2,15625,15625.2,5137,8.03E+12
04-01-2000,16800,16875.25,16253,16855.9,56186,9.35E+13
05-01-2000,15701,16250,15507.45,15507.45,164605,2.60E+14
06-01-2000,15256.65,15300,14266.85,14266.85,81997,1.19E+14
07-01-2000,13125.5,13125.5,13125.5,13125.5,7589,9.96E+12
10-01-2000,13125.5,14175.5,12075.5,13757.3,236175,3.13E+14
11-01-2000,13200,13800,12656.75,12656.75,122331,1.58E+14
12-01-2000,11950,13349,11766,13077.55,203074,2.61E+14
13-01-2000,13100,13149,12031.35,12090.6,156550,1.96E+14
14-01-2000,12249,12297,11203,12176.4,125313,1.49E+14
17-01-2000,12200,12885,11720,11870.9,141351,1.73E+14
18-01-2000,11739.7,12169,11325,11935.65,158523,1.87E+14
19-01-2000,12546,12890.5,12420,12889.85,156209,1.99E+14
20-01-2000,13200,13551,12611,12747.05,154520,2.04E+14
21-01-2000,12900,13590,12503,13420.2,162391,2.13E+14
24-01-2000,13600,14489,13600,13878.8,197315,2.77E+14
25-01-2000,13800,14250,13400.05,14109.4,159919,2.23E+14
27-01-2000,7570,7600,7293,7390.75,202403,1.51E+14
28-01-2000,7426,7699,7426,7611.55,270024,2.05E+14
31-01-2000,7535.5,7544,7127,7221.7,118723,8.78E+13
01-02-2000,7250,7450,7150,7417.4,110241,8.10E+13
02-02-2000,7590,7700,7349.5,7365.8,148305,1.10E+14
03-02-2000,7416,7510,7370,7440.8,94251,7.01E+13
04-02-2000,7475,7950,7475,7896.95,315261,2.46E+14
07-02-2000,7899,8528.75,7899,8496.2,265447,2.21E+14
08-02-2000,8495,9150,8495,8898.2,232856,2.08E+14
09-02-2000,9399,9399,8600,8709.75,165555,1.47E+14
10-02-2000,8799,9275,8799,9209,293402,2.66E+14
11-02-2000,9269,9945.75,9269,9945.75,32816,3.26E+13
14-02-2000,10741.45,10741.45,10741.45,10741.45,23733,2.55E+13
15-02-2000,10741.45,10741.45,9882.15,9961.75,333437,3.35E+14
16-02-2000,10050,10300,9635,10037.85,198757,1.99E+14
17-02-2000,10000,10800,10000,10298.3,189457,1.98E+14
18-02-2000,10419,10500,9775,9864.6,166067,1.67E+14
21-02-2000,9850,10500,9701,10254.75,277368,2.84E+14
22-02-2000,10339,10339,9750,9830.1,188540,1.87E+14
23-02-2000,10500,10500,9043.7,9214.95,186634,1.80E+14
24-02-2000,9390,9649,8988,9297,129070,1.20E+14
25-02-2000,9400,9489.85,8850,8987.2,77029,7.09E+13
28-02-2000,8900,8900,8268.25,8509.7,119006,1.00E+14
29-02-2000,8600,9190.5,8350,8779.4,250497,2.24E+14
01-03-2000,9099,9481.75,9000,9481.75,98216,9.20E+13
02-03-2000,10134.75,10240.3,9932.1,10240.3,25110,2.57E+13
03-03-2000,11059.55,11059.55,11059.55,11059.55,26691,2.95E+13
06-03-2000,11939.65,11944.35,10560,11944.35,21653,2.58E+13
07-03-2000,12800,12899.9,12800,12899.9,54333,7.01E+13
08-03-2000,13450,13931.9,11985,12315.05,350512,4.67E+14
09-03-2000,12690,13000,11630,11858.55,130230,1.58E+14
10-03-2000,12099,12745,11426.55,11664.8,160307,1.94E+14
13-03-2000,11700,12199,10731.65,10731.65,117401,1.31E+14
14-03-2000,10210,10210,9873.15,9873.15,131103,1.30E+14
15-03-2000,9131,10250,9083.3,9966.95,254096,2.39E+14
16-03-2000,9600,9600,9169.6,9169.6,89462,8.31E+13
21-03-2000,9195,9903.2,8511,9903.2,228646,2.23E+14
22-03-2000,9700,10695.5,9500,10694.3,149696,1.58E+14
23-03-2000,10960,11540,10150,10264.05,222929,2.39E+14
24-03-2000,10110,11080,10110,10823.45,191471,2.06E+14
27-03-2000,10500,10999,10300,10367.35,126203,1.33E+14
28-03-2000,10101,10200,9661.15,9947.6,139382,1.38E+14
29-03-2000,10200,10680,10151,10188.9,102186,1.06E+14
30-03-2000,9900,9900,9380,9745.7,119682,1.15E+14
31-03-2000,9600,9600,8966.05,8970.15,126260,1.14E+14
03-04-2000,8501,9000,8252.55,8252.55,58493,4.89E+13
04-04-2000,7592.35,7592.35,7592.35,7592.35,6253,4.75E+12
05-04-2000,7051,8199,7051,7797.65,442955,3.40E+14
06-04-2000,7852,8421.5,7301,8415.3,469687,3.77E+14
07-04-2000,9088.55,9088.55,9088.55,9088.55,3475,3.16E+12
10-04-2000,9815.65,9815.65,9815.65,9815.65,3291,3.23E+12
11-04-2000,9815.65,10600.9,9051,10599.2,424595,4.32E+14
12-04-2000,10390,10573,9990,10077,256124,2.63E+14
13-04-2000,9900.05,9900.05,9270.85,9270.85,51784,4.80E+13
17-04-2000,8529.2,8529.2,8529.2,8529.2,3439,2.93E+12
18-04-2000,8529.2,8799,7846.9,7846.9,233506,1.87E+14
19-04-2000,8474,8474,7219.15,7250.05,398588,3.02E+14
20-04-2000,6802,7818,6671,7603.55,574575,4.10E+14
24-04-2000,7798,7899,7210,7371.4,271376,2.03E+14
25-04-2000,7216,7394,6781.7,7172.35,256876,1.77E+14
26-04-2000,7742.85,7742.9,7651,7742.9,67657,5.23E+13
27-04-2000,7990,8174,7742.9,7988.25,388048,3.10E+14
28-04-2000,8100,8488,7955,8121.65,298589,2.44E+14
