Date,Open,High,Low,Close,Volume,Turnover
01-01-1996,249.75,252,249,251.25,21900,5.48486E+11
02-01-1996,246,250.5,238,241.75,166000,4.01475E+12
03-01-1996,231,236.45,229.55,234,336900,7.88663E+12
04-01-1996,234,239.95,231.5,238.4,275500,6.46384E+12
05-01-1996,238.4,237.5,233.5,234.1,111300,2.61957E+12
08-01-1996,234.1,235.75,225.5,226.9,281000,6.43737E+12
09-01-1996,226.9,229.9,224.25,226.3,199300,4.51888E+12
10-01-1996,226.3,230,224,225.55,66400,1.51022E+12
11-01-1996,225.55,226.95,224.5,226.75,49500,1.11637E+12
12-01-1996,226.75,231,226,229,106800,2.44738E+12
15-01-1996,229,230,226.25,226.55,44900,1.02147E+12
16-01-1996,226.55,228.05,225,225.85,68500,1.55251E+12
17-01-1996,225.85,227,225.1,225.8,68400,1.54739E+12
18-01-1996,225.8,224.9,220,223,114400,2.55038E+12
19-01-1996,223,223.5,208.25,213.35,358400,7.64104E+12
22-01-1996,213.35,214.9,209.05,211.85,87700,1.85801E+12
23-01-1996,211.85,213.65,197,198.75,176600,3.6349E+12
24-01-1996,198.75,201.5,186.75,190.15,350300,6.71455E+12
25-01-1996,190.15,190,186.5,188.2,180900,3.40638E+12
29-01-1996,188.2,202.75,187.55,198.75,214200,4.19329E+12
30-01-1996,198.75,216.95,199.8,211.15,348200,7.13736E+12
31-01-1996,211.15,209.25,200.7,203.25,213300,4.36915E+12
01-02-1996,203.25,219,203.5,215.9,279400,5.88305E+12
02-02-1996,219.95,245,218,240.65,626200,1.44416E+13
05-02-1996,240.65,265,241,252.95,419400,1.05059E+13
06-02-1996,258,259.95,243.55,250.55,313600,7.97321E+12
07-02-1996,247,252,240.1,246.85,310400,7.65975E+12
08-02-1996,250,272.8,247,272.8,487900,1.27141E+13
09-02-1996,272.8,287.85,273.1,281.8,270700,7.55518E+12
12-02-1996,285.5,285.5,270,272.95,320800,8.96932E+12
13-02-1996,272.95,283,270,279.45,260400,7.19766E+12
14-02-1996,284,296.5,284,288.15,213300,6.19438E+12
15-02-1996,288.15,299,285,291,376100,1.10137E+13
16-02-1996,284,292,277,282.35,285800,8.08538E+12
19-02-1996,282.4,287.5,282,282.25,131400,3.74375E+12
20-02-1996,285,285,264,269.85,218300,6.03585E+12
22-02-1996,269.85,279.95,275.75,276.45,71800,1.99389E+12
23-02-1996,276.45,277,269.1,272.9,70400,1.91657E+12
26-02-1996,272.9,280,270.1,273.55,94000,2.60039E+12
27-02-1996,273.55,276.5,271,272.7,98500,2.69185E+12
28-02-1996,272.7,279.85,270,271.15,71500,1.96374E+12
29-02-1996,271.15,270,250.05,254.05,181500,4.7232E+12
01-03-1996,254.05,261,252.15,258.4,152900,3.92725E+12
04-03-1996,258.4,262.5,256,259.45,135200,3.51312E+12
06-03-1996,259.45,260.1,254,259.15,88000,2.2736E+12
07-03-1996,259.15,262,254.55,255.9,98900,2.55879E+12
08-03-1996,255.9,253,248,252.15,121600,3.04954E+12
11-03-1996,252.15,250.85,243.05,245.25,103400,2.54972E+12
12-03-1996,245.25,245,237.05,238.15,91500,2.20032E+12
13-03-1996,238.15,258,239.1,257.05,198700,5.01095E+12
14-03-1996,258,264,253.05,255.35,278600,7.19608E+12
15-03-1996,255.35,257,251.5,252.3,307000,7.79716E+12
18-03-1996,239,241.8,232.5,234.65,383100,9.08355E+12
19-03-1996,232,239,225.2,229,342400,8.00555E+12
21-03-1996,231,240.5,231,235.45,241600,5.71189E+12
22-03-1996,235.45,234,216,222.1,485800,1.08289E+13
25-03-1996,215,215,201,207.1,1237600,2.56287E+13
26-03-1996,203.25,219,203.05,213.8,771100,1.62041E+13
27-03-1996,212,219.25,212,216.8,595100,1.28681E+13
28-03-1996,222.05,229,222,228.15,733900,1.66294E+13
29-03-1996,229,231,221.1,223.9,514500,1.15963E+13
01-04-1996,223.85,229,223.85,227,269600,6.12127E+12
02-04-1996,227,239,226.5,234.95,732600,1.70412E+13
03-04-1996,234.95,244,233.15,234.85,361000,8.58283E+12
04-04-1996,232.05,241.5,230.05,240.85,948000,2.24995E+13
08-04-1996,245.4,253.7,243,252,1089200,2.71871E+13
09-04-1996,252,262.5,251.1,256.4,1074100,2.7668E+13
10-04-1996,253.25,257.75,246.05,248.95,941700,2.37513E+13
11-04-1996,245,249.05,243.3,246.75,744400,1.83611E+13
12-04-1996,246.05,249.25,245.1,248.75,409800,1.0168E+13
15-04-1996,248.75,253.5,248,249,504100,1.26854E+13
16-04-1996,249,258.9,248.95,254.35,762200,1.93102E+13
17-04-1996,261.9,268.4,260.05,266.9,747300,1.97332E+13
18-04-1996,275.8,280,273.1,275.2,842700,2.32408E+13
19-04-1996,275.2,278.9,272.5,273.75,585000,1.61226E+13
22-04-1996,274,274.8,265,267,779000,2.09852E+13
23-04-1996,263.5,273.45,263,271.2,776900,2.0857E+13
24-04-1996,271.2,283,277.5,281.7,526100,1.47393E+13
25-04-1996,282,282,266,269.35,526000,1.4529E+13
26-04-1996,272,279,269.05,273.75,456900,1.24965E+13
29-04-1996,273.75,276.5,267.1,275.15,382500,1.04617E+13
30-04-1996,275.15,275.5,270,272.4,297300,8.11145E+12
01-05-1996,272.4,278,273.5,276.25,131900,3.64039E+12
02-05-1996,276.25,276.9,270.25,276.1,426100,1.16682E+13
03-05-1996,275.1,279.5,272.65,273.7,542300,1.49631E+13
06-05-1996,269.5,270,262.2,262.85,454100,1.20809E+13
07-05-1996,262.85,266,260.2,263.85,218700,5.77228E+12
08-05-1996,263.85,269.75,252.55,267.2,637600,1.67321E+13
09-05-1996,264.5,267.85,261.6,262.7,326200,8.63423E+12
10-05-1996,262.7,265.9,257.05,264.2,446700,1.16988E+13
13-05-1996,270,279.5,268.05,276.7,702100,1.92961E+13
14-05-1996,276,294,275.25,291.25,1468400,4.16479E+13
15-05-1996,290,291,277.8,288.6,1117900,3.19895E+13
16-05-1996,291,295.95,287.5,289.65,737500,2.15878E+13
17-05-1996,289.65,289.65,284.1,285.55,477800,1.36579E+13
20-05-1996,278,279.5,270.1,270.95,409800,1.12388E+13
21-05-1996,268,272.45,263.55,266.05,798000,2.14148E+13
22-05-1996,269.9,275,269.9,271.3,464400,1.26449E+13
23-05-1996,273,274.45,267.75,269.1,464200,1.25578E+13
24-05-1996,271,274.9,270,272.8,482400,1.31585E+13
27-05-1996,271,271.85,265,265.7,491600,1.3146E+13
28-05-1996,262,267.8,260.05,265,595700,1.56903E+13
29-05-1996,271,280.5,270.25,276.85,426600,1.16897E+13
30-05-1996,276.85,279.75,272.45,273.4,356000,9.80594E+12
31-05-1996,273.4,275,272.5,274.15,149000,4.08228E+12
03-06-1996,275,283.95,275,282.8,427000,1.19916E+13
04-06-1996,284,286.45,276,277.75,373500,1.0514E+13
05-06-1996,278.5,278.95,274,277.65,252100,6.97293E+12
06-06-1996,282.5,288.5,282,286.1,646100,1.84496E+13
07-06-1996,284.05,294.5,284.05,293.55,1629000,4.74938E+13
10-06-1996,295.75,295.75,290.55,293.1,756600,2.21641E+13
11-06-1996,290.75,303.75,290.75,299.45,1351900,4.01785E+13
12-06-1996,304.5,310.9,304,307.65,1330200,4.09736E+13
13-06-1996,306.75,314.25,306.75,313.3,2128900,6.6293E+13
14-06-1996,314.45,328.25,314.45,327,3991200,1.29136E+14
17-06-1996,324.75,327,309,311.2,3995900,1.26123E+14
18-06-1996,308,315,283.35,306.05,5485300,1.65754E+14
19-06-1996,299,300,288.2,290.45,3547100,1.03475E+14
20-06-1996,286.6,304.25,286.6,301,3489300,1.02696E+14
21-06-1996,298,311.5,298,306.9,6221200,1.91246E+14
24-06-1996,310,324,310,321.9,7258500,2.29881E+14
25-06-1996,325,330,316.3,319.45,9426500,3.04941E+14
26-06-1996,319,320.5,312.25,313.8,4508100,1.42691E+14
27-06-1996,312,318,309,316.2,5066200,1.58866E+14
28-06-1996,318,319.75,312.4,313.65,2914500,9.21816E+13
01-07-1996,311.1,312.5,304.1,306.2,4035200,1.24392E+14
02-07-1996,306,308.75,300.35,302.3,4244100,1.29167E+14
03-07-1996,303,303,295,298.95,4739100,1.42065E+14
04-07-1996,296.5,302.95,292.1,298.25,4535600,1.34868E+14
05-07-1996,301.75,309.5,300.55,306.6,6691600,2.04867E+14
08-07-1996,309.95,325,304.5,306.5,2868300,8.8245E+13
09-07-1996,304.2,306.4,290.1,301.3,2815200,8.53301E+13
10-07-1996,310,311,303.1,308.85,4224400,1.3024E+14
11-07-1996,309.8,318,309.8,314.9,5940600,1.86821E+14
12-07-1996,314,317.5,312,313.65,4333000,1.36381E+14
15-07-1996,312.1,315,309.55,313.8,3608800,1.12639E+14
16-07-1996,315,315.9,308.5,310.15,2916000,9.07008E+13
17-07-1996,312.25,316,310.55,313.5,3207100,1.00673E+14
18-07-1996,314.75,320.5,313.9,316.7,4080100,1.29657E+14
19-07-1996,317.95,319.5,312.5,314.3,1891200,5.96024E+13
22-07-1996,310.95,319.9,307.1,313.55,2451200,7.66078E+13
23-07-1996,315.75,317.5,311,312.4,2828600,8.88863E+13
24-07-1996,311.75,313.5,302.85,308.35,4638800,1.43058E+14
25-07-1996,307.5,310.95,307,307.75,1804000,5.57436E+13
26-07-1996,309.4,309.55,302.3,304.8,3200600,9.77076E+13
29-07-1996,305.5,307.25,292.9,294.2,5663200,1.68619E+14
30-07-1996,292.1,292.1,279.35,284.75,8253200,2.34892E+14
31-07-1996,287,305.5,282.25,302.4,11277400,3.31257E+14
01-08-1996,307.75,315.75,303,304.9,11315300,3.49502E+14
02-08-1996,304,308.5,297.1,304.35,9874400,2.99836E+14
05-08-1996,307.5,312,306.1,307.45,6776800,2.09336E+14
06-08-1996,307.5,315,298.65,306.1,8379200,2.55291E+14
07-08-1996,304,306.55,302.15,305.35,2030700,6.19055E+13
08-08-1996,306.8,306.8,298.05,299.4,2075700,6.2527E+13
09-08-1996,299,302.9,296.25,301.75,2805300,8.41645E+13
12-08-1996,303.7,307.8,302.25,304.95,3153500,9.62337E+13
13-08-1996,304.05,311,303.75,308.5,2880100,8.8349E+13
14-08-1996,305.65,306.25,302.5,303.8,1685200,5.13246E+13
16-08-1996,303.25,305.35,298.4,299.95,2643800,7.9495E+13
19-08-1996,297,297,282.55,283.85,4662100,1.34681E+14
20-08-1996,282.5,289.75,282.25,285.55,3092200,8.84465E+13
21-08-1996,288,290.5,286.25,289.1,1932700,5.57214E+13
22-08-1996,290.55,292,283.75,284.65,1955300,5.61725E+13
23-08-1996,283.1,288.7,282.25,287.5,1565100,4.49005E+13
26-08-1996,288.95,288.95,280.9,281.65,2210200,6.27767E+13
27-08-1996,281.25,288.5,277.3,284.5,4462400,1.25719E+14
28-08-1996,287,289.75,284,287.45,1595100,4.56584E+13
29-08-1996,288,292.75,286.8,288.55,2474600,7.16822E+13
30-08-1996,288.5,290.4,286.85,289.8,1354500,3.91047E+13
02-09-1996,291.5,299.75,290.25,296.75,3190500,9.38969E+13
03-09-1996,299.95,301.85,293,297.75,3995200,1.18762E+14
04-09-1996,293,296,291.3,295.15,1766500,5.20053E+13
05-09-1996,296.75,299.2,295,298.55,1539800,4.58079E+13
06-09-1996,298.9,302.5,296.2,300.3,3176800,9.5236E+13
09-09-1996,300.2,300.2,295.55,296.25,2580500,7.67464E+13
10-09-1996,296,296.5,292.5,295.3,2491500,7.35031E+13
11-09-1996,294.75,296,286.5,287.2,2860700,8.2985E+13
12-09-1996,287.9,288.6,284.05,287.4,2674900,7.65219E+13
13-09-1996,289,290,285.05,285.75,1850400,5.31561E+13
16-09-1996,285,285.25,279.3,280.65,3291900,9.28253E+13
17-09-1996,280.1,296.7,280,289.15,2257200,6.44759E+13
18-09-1996,292,303.85,286.75,300.7,3509100,1.03438E+14
19-09-1996,300,302.4,291.55,292.85,4376200,1.2995E+14
20-09-1996,293,297.35,292.05,294.25,2150300,6.33357E+13
23-09-1996,293,295,291.55,293.7,1730500,5.07123E+13
24-09-1996,294.95,303.5,294.9,300.7,5508200,1.65076E+14
25-09-1996,301.95,305.4,298.2,299.4,3447500,1.04131E+14
26-09-1996,300,300,294.5,296.95,2524400,7.48983E+13
27-09-1996,297,300.65,293.55,297.4,4157600,1.23621E+14
30-09-1996,298,303.9,297,302.95,3653300,1.09994E+14
01-10-1996,303.95,323.5,302.05,306.25,5353400,1.63403E+14
03-10-1996,306,313.5,305,312.2,6741800,2.09397E+14
04-10-1996,313,315.45,304.5,308.5,7437700,2.29814E+14
07-10-1996,307.55,308,295.2,303.15,7708100,2.31936E+14
08-10-1996,302.05,321,299.55,316.65,9808100,3.05155E+14
09-10-1996,311,314.5,307.5,310.65,4340800,1.34889E+14
10-10-1996,310.85,324,310.1,322.65,7243200,2.30075E+14
11-10-1996,324.9,329.2,322.5,324.5,7605700,2.4819E+14
14-10-1996,322.8,322.8,316,319.05,4305000,1.36962E+14
15-10-1996,317.9,326.85,305.1,318.5,8466700,2.71286E+14
16-10-1996,311.3,329,308.8,310.75,5830500,1.81759E+14
17-10-1996,309.55,309.55,299.1,304.55,7718500,2.34349E+14
18-10-1996,305.5,306.95,301.5,302.7,4303600,1.31002E+14
22-10-1996,304,312,303.05,307.15,4896600,1.50414E+14
23-10-1996,314,321.9,314,319.8,3485900,1.10714E+14
24-10-1996,322,322.95,309.3,311.5,3391600,1.07316E+14
25-10-1996,310.15,314.9,309.55,313.7,1856200,5.80095E+13
28-10-1996,316.5,321,315.5,317,2854300,9.09288E+13
29-10-1996,317,329,315.75,323.2,4777200,1.53572E+14
31-10-1996,307.55,307.55,291,301.1,8576900,2.54513E+14
01-11-1996,299.3,306.5,297.6,300.45,7959500,2.40936E+14
04-11-1996,297.25,297.25,288.5,290.75,6445800,1.88119E+14
05-11-1996,289.05,293.35,270.4,274.75,10060800,2.8477E+14
06-11-1996,265,265.25,255.55,255.55,4884700,1.25405E+14
07-11-1996,240.35,250.5,238.05,248.2,9713100,2.39013E+14
08-11-1996,250.65,257.75,249.55,256.55,6479200,1.64527E+14
10-11-1996,256.15,256.15,251.05,253.95,2610800,6.61719E+13
11-11-1996,253,270.9,250.05,258.6,6411000,1.6347E+14
13-11-1996,258.9,271,256.15,268.95,7904100,2.09068E+14
14-11-1996,268.45,270.85,261.05,262.6,7996500,2.11404E+14
15-11-1996,262.5,266.5,258.5,265.15,6239000,1.64282E+14
18-11-1996,266,283.75,261.45,283.2,12961200,3.59112E+14
19-11-1996,283.5,300,279.2,285.85,12766600,3.63019E+14
