Date,Open,High,Low,Close,Volume,Turnover
01-01-1996,38.6,39,38.2,39,1200,4631500000
02-01-1996,39,39,37.7,38.5,2800,10731000000
03-01-1996,39.5,39.5,37.7,38.5,1000,3830500000
04-01-1996,38.5,38.5,36.05,36.95,2800,10304000000
05-01-1996,37,37,36.75,36.75,2400,8861000000
08-01-1996,36.75,37.2,36,36.2,1600,5832500000
09-01-1996,35.05,36,34.3,34.8,2000,7066500000
10-01-1996,34.8,35.5,34.5,34.6,3500,12257500000
11-01-1996,35.25,35.95,35,35,2000,7052500000
12-01-1996,36,36,35,35.5,2700,9538500000
15-01-1996,36.5,36.5,35.85,35.85,1700,6126000000
16-01-1996,35.5,35.75,35,35.25,1700,5996500000
17-01-1996,35.25,36.95,35.5,36,2100,7578000000
18-01-1996,36,35.95,35.15,35.75,1500,5338500000
19-01-1996,35.25,35.25,34.3,34.65,1200,4171000000
22-01-1996,34.25,34.75,33.25,33.95,1400,4786500000
23-01-1996,33.75,34.25,32.3,32.5,4800,16150500000
24-01-1996,33,33,30.5,32.2,10300,32598500000
25-01-1996,32.2,31.5,30,31.1,3300,10138000000
29-01-1996,31,31,30.7,31,1500,4647000000
30-01-1996,31,33.75,30.75,33.75,1600,5157000000
31-01-1996,33.5,33.75,33,33.75,900,3013500000
01-02-1996,33.75,33.25,32.6,33,2300,7566000000
02-02-1996,35,35.95,34,35.05,1500,5222500000
05-02-1996,35.05,38.5,36,37.85,4600,17071000000
06-02-1996,37.85,40,37,37.5,4000,15285000000
07-02-1996,37.5,37,35,35.65,18900,68904000000
08-02-1996,36,36.35,34.55,36.1,4500,16080500000
09-02-1996,36.1,38.85,37,38.3,3100,11779000000
12-02-1996,38.3,42.35,39.5,42.35,5700,23855500000
13-02-1996,42,44,41,42.6,7900,33859500000
14-02-1996,42.6,46,43,45.5,13100,58950500000
15-02-1996,44,45.75,44,45,16700,74799500000
16-02-1996,45,44.85,42.05,43.55,11100,48590500000
19-02-1996,43.55,47.5,44.3,47.1,17700,81125500000
20-02-1996,47.1,46.7,44,45.55,15100,69617000000
22-02-1996,45.55,45,44,44.25,2800,12521500000
23-02-1996,44.25,45,43.5,43.9,2400,10641500000
26-02-1996,43.9,46.5,43.95,46.5,7900,36091000000
27-02-1996,45,49,44,46.7,14200,66024500000
28-02-1996,46.7,47.5,46,46.9,9200,42702500000
29-02-1996,46.9,46,45.25,45.25,5800,26429000000
01-03-1996,45.25,45.55,44,45.45,9800,44370500000
04-03-1996,45,46.5,44.25,45.15,7500,33959000000
06-03-1996,46,46.5,45,46.2,7500,34298500000
07-03-1996,46.2,47.5,45.75,46.9,8400,38995500000
08-03-1996,46.9,46,45,45,5100,23125000000
11-03-1996,44,44,41,41,4400,18874000000
12-03-1996,41,43,41.25,42.5,5200,21955000000
13-03-1996,41.5,43,41.45,43,307500,1.32125E+12
14-03-1996,43,42.7,42,42.25,26300,1.11137E+11
15-03-1996,42.5,45.4,42.5,45.25,20300,88867000000
18-03-1996,45.25,46,43.3,45.8,10700,47738000000
19-03-1996,45.8,49.5,44.75,47.9,10900,50106500000
21-03-1996,47.9,45.45,44.15,45.1,8400,37727500000
22-03-1996,45.1,44.5,43.25,44.4,22600,99464500000
25-03-1996,44.4,45,43.1,44.75,7200,32069500000
26-03-1996,45.9,49.25,43.8,47.85,9200,42028000000
27-03-1996,47.85,47.25,45.3,45.6,5500,25149000000
28-03-1996,45.6,47.5,45.15,47.25,7600,35480000000
29-03-1996,47.25,47.5,46.75,47.4,4000,18962000000
01-04-1996,47.4,48,47,48,5000,23839000000
02-04-1996,48,52.75,48,50.2,10700,52694500000
03-04-1996,50.2,52.5,50.05,50.9,9100,46827000000
04-04-1996,50.5,50.5,49,50.4,5900,29468000000
08-04-1996,50.4,50.5,49.5,50.25,4700,23474500000
09-04-1996,50.25,52,49.85,50.95,14700,74527000000
10-04-1996,50.95,52,50,50.55,10400,52900500000
11-04-1996,50.55,51,49.65,50.95,7200,36268500000
12-04-1996,50.95,52,50.5,51.8,7600,38982000000
15-04-1996,51.8,52.75,52,52.05,7400,38678000000
16-04-1996,52.05,54,51.55,53.7,11000,58102000000
17-04-1996,52,57,52,56.25,17200,94433000000
18-04-1996,56.25,59.5,57.25,57.95,14300,82719500000
19-04-1996,57.95,57,55,55.1,7800,43658000000
22-04-1996,55.1,58,55,56.55,22900,1.29422E+11
23-04-1996,56.55,56,54,54.2,13400,73744500000
