Date,Open,High,Low,Close,Volume,Turnover
18-04-1996,59.5,59.6,59.5,59.6,500,2979000000
22-04-1996,58,60,54.25,54.25,8100,48242500000
23-04-1996,58,58,49,53.5,4600,25520000000
25-04-1996,56,56,55,55,600,3310000000
30-04-1996,53,53,53,53,1500,7950000000
02-05-1996,53,48.5,48.5,48.5,100,485000000
06-05-1996,43.7,43.7,43.7,43.7,100,437000000
23-05-1996,39.35,39.35,39.35,39.35,100,393500000
24-05-1996,35.5,35.5,35.5,35.5,100,355000000
27-05-1996,32,32,32,32,100,320000000
29-05-1996,30,32,30,32,300,920000000
04-06-1996,32,32,32,32,200,640000000
10-06-1996,35,35,35,35,500,1750000000
11-06-1996,35.25,38.5,35.25,37.5,1600,5937500000
18-06-1996,41,41,39.5,39.55,500,1995500000
21-06-1996,40,40,40,40,500,2000000000
26-06-1996,38.25,40,38,40,1000,3835000000
28-06-1996,38,38,38,38,300,1140000000
16-07-1996,38,38,37,37,300,1130000000
02-08-1996,40,40,40,40,500,2000000000
05-08-1996,40,42.5,40,42.5,300,1245000000
06-08-1996,42.5,42.5,42.5,42.5,100,425000000
08-08-1996,40,40,40,40,100,400000000
09-08-1996,40,40,40,40,100,400000000
14-08-1996,40,40,40,40,100,400000000
16-08-1996,38,38,38,38,100,380000000
30-08-1996,38,38,38,38,100,380000000
03-09-1996,39.8,39.9,39.8,39.9,200,797000000
13-09-1996,39,40,39,40,1100,4300000000
16-09-1996,38,38,38,38,200,760000000
18-09-1996,38.9,38.9,38.9,38.9,200,778000000
19-09-1996,38,38,37.75,37.9,200,757500000
23-09-1996,35,35,35,35,200,700000000
25-09-1996,35,35,35,35,200,700000000
26-09-1996,36.9,38.5,36.9,38.5,6800,25620000000
27-09-1996,36,39.15,36,39,4500,17196000000
30-09-1996,39,39.5,39,39.5,2000,7844500000
01-10-1996,39.45,41,39.45,41,400,1594500000
08-10-1996,40,40,40,40,3000,12000000000
15-10-1996,39.4,39.4,39.4,39.4,100,394000000
22-10-1996,38,38,38,38,100,380000000
23-10-1996,38,38,38,38,200,760000000
28-10-1996,38.25,38.25,38,38,1400,5325000000
13-11-1996,36,38.5,36,38,1800,6809000000
14-11-1996,38.75,38.75,38,38,2100,8037500000
15-11-1996,37.05,37.05,37.05,37.05,100,370500000
19-11-1996,38.5,38.5,38.5,38.5,2000,7700000000
20-11-1996,38.5,38.5,38.5,38.5,3700,14245000000
21-11-1996,38.5,38.5,38.5,38.5,2600,10010000000
27-11-1996,41.5,41.5,41.5,41.5,100,415000000
28-11-1996,41.5,41.6,41.5,41.6,2000,8310000000
29-11-1996,41.8,41.8,41.8,41.8,300,1254000000
03-12-1996,45,46,45,45.35,1000,4550500000
04-12-1996,45,45,45,45,700,3150000000
05-12-1996,43.55,47,43.5,45.5,1900,8615500000
09-12-1996,45,45,45,45,100,450000000
10-12-1996,47.5,47.5,47.5,47.5,100,475000000
11-12-1996,49,49,48.5,48.5,200,975000000
12-12-1996,49,49,49,49,100,490000000
13-12-1996,48.75,48.75,48.75,48.75,100,487500000
16-12-1996,49,49,47.9,47.9,200,969000000
18-12-1996,47,47,47,47,100,470000000
19-12-1996,47,47,47,47,200,940000000
23-12-1996,45,45,45,45,100,450000000
24-12-1996,45,47.35,45,46,300,1383500000
01-01-1997,47,49.4,47,49.4,400,1924000000
06-01-1997,45,45,45,45,200,900000000
07-01-1997,45.4,45.4,44.05,44.7,500,2244500000
08-01-1997,46.5,47,45,47,500,2315000000
09-01-1997,45.5,46,45,45,500,2265000000
10-01-1997,45,45,44,44,500,2210000000
13-01-1997,48,48,45,45,1200,5589500000
14-01-1997,45,45.5,45,45,700,3167000000
15-01-1997,45,45,45,45,200,900000000
16-01-1997,46.05,48,46,47.9,1900,8965500000
17-01-1997,46,47.95,46,46,500,2319500000
21-01-1997,45,45,43,43,300,1320000000
24-01-1997,45,45,45,45,200,900000000
27-01-1997,45.05,45.05,45,45,300,1350500000
28-01-1997,45,46,43.2,43.2,800,3592000000
29-01-1997,45.5,45.5,45.5,45.5,100,455000000
30-01-1997,45,45,45,45,100,450000000
31-01-1997,45,45,45,45,100,450000000
03-02-1997,45.5,45.5,45,45,600,2708000000
04-02-1997,45,45,43.5,45,300,1335000000
05-02-1997,45,45,45,45,300,1350000000
