Date,Open,High,Low,Close,Volume,Turnover
01-01-1996,217,217,217,217,50,1085000000
02-01-1996,217.5,217.5,215,216.25,650,14040250000
03-01-1996,216,216.5,215,215,450,9725500000
05-01-1996,203.05,203.05,202,202,450,9120750000
08-01-1996,201,202.5,201,201,900,18158750000
09-01-1996,200,200,196,197.95,500,9899500000
10-01-1996,194,194,194,194,50,970000000
11-01-1996,207,207,199,200,250,5050000000
12-01-1996,200.25,206,200.25,203,200,4057500000
15-01-1996,203,206,203,204,400,8155000000
16-01-1996,202,204.45,201,202,500,10128000000
17-01-1996,203,204.5,192,194.2,950,19042500000
18-01-1996,194.2,195,194,194,350,6820000000
19-01-1996,193,193,191.5,191.5,150,2880000000
22-01-1996,189,195,189,195,250,4826250000
23-01-1996,198,198,188.5,189.25,900,17410000000
24-01-1996,195,195,182,182,3250,63210000000
25-01-1996,185,188,185,186.5,250,4645000000
29-01-1996,186.5,190,187,190,3400,63768750000
30-01-1996,190,190,186.15,190,350,6600750000
31-01-1996,191,197.95,191,193,500,9719750000
02-02-1996,200,204.75,199.5,204.75,1000,20264000000
05-02-1996,212,212,202,202,500,10385000000
06-02-1996,202,202,195,196.35,950,18866500000
07-02-1996,195,200,195,200,400,7959250000
08-02-1996,199,201.5,199,201.5,250,5010000000
09-02-1996,206,220,206,217.5,950,20271000000
12-02-1996,220,223,216.5,216.5,2150,47617250000
13-02-1996,216.5,228,217,223.75,1300,28857500000
14-02-1996,223.75,234,230.05,230.05,1250,28971500000
15-02-1996,225,250,225,237.5,2200,52726500000
16-02-1996,235.05,240,230,231.25,1100,25819750000
19-02-1996,231.25,231,217,221,1700,38598500000
20-02-1996,221,222,217,219.5,1200,26382250000
22-02-1996,215,221.5,215,215.3,1750,38087000000
23-02-1996,215.3,219.9,210.55,212.6,1150,24680500000
26-02-1996,210,216,210,215,2200,46658750000
27-02-1996,215,216.95,210.5,212.1,3800,81533750000
28-02-1996,220,220,210,212.1,1600,34134250000
29-02-1996,212.1,210,207,207,400,8340000000
01-03-1996,204,207,203,205.5,1050,21432250000
04-03-1996,205.5,206,203,203.25,1300,26518500000
06-03-1996,203.25,205,205,205,100,2050000000
07-03-1996,205,200,200,200,100,2000000000
08-03-1996,204,204,200,200,1000,20240000000
11-03-1996,200,198,195,195,200,3930000000
12-03-1996,195.5,195.5,190,190,450,8735000000
13-03-1996,200,200,200,200,250,5000000000
14-03-1996,200,204,202,204,300,6070000000
15-03-1996,198,198,195.25,195.25,200,3936250000
18-03-1996,195.25,196,190.5,190.5,400,7758250000
19-03-1996,190.5,195,180.3,185.35,800,15106500000
21-03-1996,185.35,193,185,193,250,4705000000
22-03-1996,193,192.5,187.1,192,200,3818000000
25-03-1996,190.5,191,190,191,750,14293750000
26-03-1996,190,190,185.5,185.5,1450,27209500000
27-03-1996,185.5,204,194,198.8,1450,28843750000
28-03-1996,198.8,201.9,199,199.7,550,11015000000
29-03-1996,199.7,199.95,197.75,197.75,200,3987500000
01-04-1996,197.75,198,196.7,197.5,600,11851500000
