Date,Open,High,Low,Close,Volume,Turnover
01-01-1996,198.1,201.15,196.5,199.5,4126350,8.21958E+13
02-01-1996,200.25,201,188,193.15,5299500,1.03838E+14
03-01-1996,194.25,196.8,187,188,6443900,1.23493E+14
04-01-1996,185.5,189,182.55,187.35,8121250,1.5024E+14
05-01-1996,188,188.5,185.05,186.3,7228600,1.34958E+14
08-01-1996,185.25,187,179.35,180.85,5226650,9.59507E+13
09-01-1996,179,198,177.05,190.75,7742300,1.41275E+14
10-01-1996,184.5,187.75,180.75,182,5129050,9.48288E+13
11-01-1996,180,190,180,188.95,6224700,1.15514E+14
12-01-1996,189.5,193.25,186.25,189.05,9638300,1.82807E+14
15-01-1996,191,192.9,188.5,189.65,6431950,1.22611E+14
16-01-1996,189.75,207,188.5,193.65,8727300,1.67411E+14
17-01-1996,189.25,190.5,185,185.7,6177950,1.16128E+14
18-01-1996,183.55,186.8,181.5,184.45,6380150,1.17611E+14
19-01-1996,183.25,187.3,183.25,186.65,4496100,8.34316E+13
22-01-1996,188,194.1,187.6,193.15,7690900,1.47195E+14
23-01-1996,194.9,198.95,192.5,195.2,12293800,2.41216E+14
24-01-1996,189,190,183.9,188.6,5140750,9.62933E+13
25-01-1996,192,193.7,189.5,190.4,6387750,1.22402E+14
29-01-1996,192.5,200.95,191.55,199.1,7141500,1.40907E+14
30-01-1996,202,208.8,197,203.55,8412750,1.7275E+14
31-01-1996,199,202.75,193.05,196.6,5362150,1.05773E+14
01-02-1996,195.25,208,195.25,206.35,9114350,1.84689E+14
02-02-1996,210.5,222,209,220.6,10002300,2.15815E+14
05-02-1996,223.5,242.5,223.5,234.5,15185300,3.51346E+14
06-02-1996,238,245.5,231,236.5,13902350,3.31935E+14
07-02-1996,228.9,237,220,232.35,6366950,1.47689E+14
08-02-1996,233.05,242.75,228.7,238.95,4981450,1.16413E+14
09-02-1996,241.25,259.25,236.9,255.85,7036800,1.75572E+14
12-02-1996,253,257.2,238,240.85,7699900,1.91975E+14
13-02-1996,240.25,244.9,233.5,242.15,7898400,1.89221E+14
14-02-1996,251,254.85,248,249.25,4930000,1.23759E+14
15-02-1996,248,252,245.25,247.8,3836600,9.55138E+13
16-02-1996,245.95,246.45,240.35,242,3879150,9.42439E+13
19-02-1996,243,247,242.5,243.65,2754750,6.73669E+13
20-02-1996,244,244.2,234.1,236.05,2883450,6.91743E+13
22-02-1996,240.4,243.45,239,242.6,2041600,4.94163E+13
23-02-1996,243,247.5,239.3,246.2,4401900,1.07253E+14
26-02-1996,252,258.35,251.1,252.75,6793200,1.73341E+14
27-02-1996,254,255.5,249,252.3,5911400,1.48979E+14
28-02-1996,256,258,252.1,252.6,3454200,8.80111E+13
29-02-1996,251,251.95,237,240.3,6701850,1.64103E+14
01-03-1996,243,245.4,240,243.25,4679750,1.13512E+14
04-03-1996,244,244.95,235,240.8,3832000,9.29267E+13
06-03-1996,241.1,244.9,240.5,243.7,2090850,5.08353E+13
07-03-1996,245,247.2,241.25,242.15,2953550,7.23329E+13
08-03-1996,240.05,240.95,236.1,239.9,3739900,8.92349E+13
11-03-1996,235,237,231.45,234.4,3690050,8.64812E+13
12-03-1996,234.15,235.15,232,234.05,2588050,6.04813E+13
13-03-1996,233.95,240.45,232.75,239.65,2587250,6.12619E+13
14-03-1996,240.5,242.6,238.1,239.4,3429050,8.25314E+13
15-03-1996,239,239.5,234.5,235.1,2742350,6.49409E+13
18-03-1996,233,234.45,228.25,228.95,2563100,5.91848E+13
19-03-1996,228.95,231.85,217,222.7,3357200,7.63724E+13
21-03-1996,227.05,231.5,227.05,229.75,1288000,2.9571E+13
22-03-1996,227.25,229,223.25,227.25,2187050,4.93395E+13
25-03-1996,229,231.95,227.65,228.75,2125250,4.88192E+13
26-03-1996,228.9,230,221.8,227,2268150,5.13054E+13
27-03-1996,230,233.5,230,231.2,1384600,3.2125E+13
28-03-1996,231.2,245,231.65,235.05,1458200,3.41184E+13
29-03-1996,236.5,237.5,233.5,235.4,2004900,4.7222E+13
01-04-1996,230,243,230,241.75,3787050,9.06795E+13
02-04-1996,245.05,253,238.65,249.4,5067850,1.25243E+14
03-04-1996,253,257.45,252,252.8,4588350,1.1687E+14
