Date,Open,High,Low,Close,Volume,Turnover
03-01-2000,207.4,217.25,207.4,216.75,676126,1.44878E+13
04-01-2000,217,219,206,208.2,679215,1.42296E+13
05-01-2000,194,217.8,194,213.25,1120951,2.35768E+13
06-01-2000,215,229.9,215,222.1,1968998,4.43593E+13
07-01-2000,224,239.9,223.1,239.9,2199431,5.19764E+13
10-01-2000,259,259.1,248,258.85,1720542,4.4253E+13
11-01-2000,260,260,238.15,238.15,1207916,2.97908E+13
12-01-2000,240,246,229,240.25,938579,2.22565E+13
13-01-2000,243,245,231.6,235.45,565754,1.34261E+13
14-01-2000,234.95,243,233,239.05,1024725,2.4495E+13
17-01-2000,242.95,258.1,242.95,250.65,1482994,3.74683E+13
18-01-2000,251,252.5,245.05,248,792347,1.96867E+13
19-01-2000,251,257.9,242.6,250.5,1221042,3.04661E+13
20-01-2000,250,250,233.6,235.7,557949,1.35232E+13
21-01-2000,230.1,233.8,225.5,232.2,696339,1.6022E+13
24-01-2000,230,235.9,213.65,213.65,1125168,2.51408E+13
25-01-2000,200.35,204.9,196.6,196.6,706121,1.40194E+13
27-01-2000,190,193,180.9,180.9,1728526,3.15524E+13
28-01-2000,171,182,168.35,175.2,2671887,4.67457E+13
31-01-2000,171.15,188.7,170.05,179.7,2850688,5.16539E+13
01-02-2000,179.9,184.9,172.1,175.3,1206216,2.13547E+13
02-02-2000,184,186.9,178.35,180.1,896220,1.63762E+13
03-02-2000,180,181.75,176.75,177.35,390462,7.01148E+12
04-02-2000,179,179.95,172.8,178.95,805045,1.42833E+13
07-02-2000,178.1,182.5,175.35,177.8,472973,8.4959E+12
08-02-2000,179,184.9,176.5,180.6,671633,1.21563E+13
09-02-2000,186,192,182,183.65,851000,1.59465E+13
10-02-2000,184.9,184.9,180,181.1,276973,5.04621E+12
11-02-2000,183.9,184.8,167.05,169.75,787181,1.3731E+13
14-02-2000,170,170,156.2,157.8,700837,1.13493E+13
15-02-2000,158.05,169,156,165.8,984192,1.60323E+13
16-02-2000,171.8,171.8,164.15,164.85,316694,5.27797E+12
17-02-2000,165,172,163.6,166.35,352975,5.90322E+12
18-02-2000,166,167,153.05,154.2,526451,8.28041E+12
21-02-2000,150,166.55,150,166.55,672967,1.08867E+13
22-02-2000,173.9,179.9,170.3,179.9,635878,1.13534E+13
23-02-2000,189.9,194,166.25,168.05,1254749,2.26615E+13
24-02-2000,170.9,174.9,165.95,170.25,469287,7.98468E+12
25-02-2000,174.45,183.9,166.55,182.9,892722,1.5977E+13
28-02-2000,184,184,174.1,181.05,651357,1.17395E+13
29-02-2000,180.05,183.4,166.6,166.6,835041,1.45421E+13
01-03-2000,167,172,154,157.6,1464975,2.37408E+13
02-03-2000,163,163.75,145.75,146.8,1313217,1.99958E+13
03-03-2000,137,141.9,135.1,135.1,1222358,1.66557E+13
06-03-2000,139.9,145.95,136.1,138.75,1705044,2.42519E+13
07-03-2000,130,139.6,130,132.1,1087675,1.45256E+13
08-03-2000,134,134.1,125,127.5,597334,7.7222E+12
09-03-2000,128,137.7,126.2,137.7,658855,8.62925E+12
10-03-2000,130,140,127.25,129.4,674480,8.83886E+12
13-03-2000,131.9,133.4,119.55,120.35,673380,8.4442E+12
14-03-2000,122.8,130,119.8,130,842598,1.07218E+13
15-03-2000,135,139.3,130,135.2,773900,1.0468E+13
16-03-2000,136,146.05,134,145.4,1108152,1.59004E+13
21-03-2000,143,153,135.25,149.55,1018963,1.49376E+13
22-03-2000,153,153.5,142.5,146.55,735518,1.08998E+13
23-03-2000,147,147.5,135.5,136.2,428079,5.9883E+12
24-03-2000,131.2,136.85,131.2,135.25,310258,4.16621E+12
27-03-2000,135,137.8,133.15,135.35,295252,4.00649E+12
28-03-2000,134.25,137,130.15,133.5,567466,7.54291E+12
29-03-2000,135.25,139.9,133,134.9,896538,1.22234E+13
30-03-2000,133.55,133.65,124.15,126.75,894430,1.13218E+13
31-03-2000,124.3,136.9,121.5,136.3,1010408,1.33627E+13
03-04-2000,138,145.9,135,142.7,1677659,2.3559E+13
04-04-2000,141,141,131.3,131.3,641572,8.54987E+12
05-04-2000,126.5,136,125.25,133.55,517712,6.85072E+12
