Date,Open,High,Low,Close,Volume,Turnover
25-08-2004,1198.7,1198.7,979,987.95,17116372,1.72588E+15
26-08-2004,992,997,975.3,979,5055400,4.98286E+14
27-08-2004,982.4,982.4,958.55,962.65,3830750,3.71559E+14
30-08-2004,969.9,990,965,986.75,3058151,3.00511E+14
31-08-2004,986.5,990,976,988.1,2649332,2.60213E+14
01-09-2004,990,995,983.6,987.9,2491943,2.46624E+14
02-09-2004,989.9,1004.6,986,993.65,2669544,2.66143E+14
03-09-2004,1006,1100,990.35,997.85,1233732,1.22992E+14
06-09-2004,1039.9,1039.9,992.9,994.85,1129834,1.12855E+14
07-09-2004,1035,1035,995,995.6,721529,7.19611E+13
08-09-2004,996,1000.8,991.1,993.7,824248,8.20362E+13
09-09-2004,997,997.9,978.45,979.95,993398,9.78657E+13
10-09-2004,990,990,976,988.8,801884,7.89951E+13
13-09-2004,991,1015.5,991,1003.5,2613114,2.63222E+14
14-09-2004,1005,1018.8,1002.95,1015.65,1916934,1.94176E+14
15-09-2004,1018,1020,1001.2,1006.1,1498536,1.51221E+14
16-09-2004,1007,1015,1002.5,1008.45,919778,9.28806E+13
17-09-2004,1012,1029.9,1010.3,1024.5,1828487,1.86705E+14
20-09-2004,1032.4,1036.9,1020.15,1022.9,1069028,1.09984E+14
21-09-2004,1024.85,1048.5,1022,1045.8,1737135,1.80582E+14
22-09-2004,1048.4,1056,1037.1,1052.05,1921448,2.01286E+14
23-09-2004,1048,1049,1027,1030.25,1977460,2.0522E+14
24-09-2004,1029.1,1040,1026,1028.8,1010401,1.04469E+14
27-09-2004,1027.5,1032.5,1015,1020.75,1028689,1.05177E+14
28-09-2004,1016,1027.4,1012.5,1015.55,792427,8.08925E+13
29-09-2004,1019.25,1033,1016.15,1031,1467147,1.50325E+14
30-09-2004,1035.6,1040.9,1020.65,1027.1,1565179,1.6164E+14
01-10-2004,1029,1056.45,1026.35,1047.7,1371111,1.43086E+14
04-10-2004,1057,1081,1054.45,1076.5,1891228,2.02719E+14
05-10-2004,1080.3,1089,1075.5,1080.7,1792661,1.94225E+14
06-10-2004,1081,1102.8,1075.05,1081.6,2208833,2.40781E+14
07-10-2004,1083,1100,1083,1097.1,1260016,1.37744E+14
08-10-2004,1098,1111,1095,1098.05,1069865,1.18032E+14
