Date,Open,High,Low,Close,Volume,Turnover
06-02-2017,0.79,0.79,0.76,0.76,7430,5848
03-02-2017,0.79,0.79,0.79,0.79,310,244
02-02-2017,0.83,0.83,0.83,0.83,75,62
31-01-2017,0.87,0.87,0.87,0.87,1050,913
25-01-2017,0.91,0.91,0.91,0.91,400,364
24-01-2017,0.91,0.91,0.9,0.91,3632,3303
23-01-2017,0.91,0.91,0.91,0.91,55,50
20-01-2017,0.93,0.93,0.92,0.92,74,68
19-01-2017,0.89,0.89,0.89,0.89,77,68
18-01-2017,0.88,0.88,0.85,0.85,84,73
17-01-2017,0.84,0.88,0.84,0.86,8100,6806
12-01-2017,0.89,0.89,0.88,0.88,10105,8993
10-01-2017,0.93,0.93,0.85,0.85,155,136
09-01-2017,0.89,0.89,0.89,0.89,60,53
06-01-2017,0.9,0.9,0.89,0.89,580,517
05-01-2017,0.86,0.86,0.86,0.86,110,94
04-01-2017,0.84,0.84,0.82,0.82,705,588
03-01-2017,0.79,0.8,0.79,0.8,5865,4656
02-01-2017,0.77,0.77,0.77,0.77,400,308
30-12-2016,0.75,0.75,0.75,0.75,300,225
29-12-2016,0.7,0.76,0.7,0.76,1152,806
27-12-2016,0.73,0.73,0.73,0.73,1200,876
26-12-2016,0.84,0.84,0.76,0.76,312,242
22-12-2016,0.8,0.8,0.8,0.8,2000,1600
21-12-2016,0.88,0.88,0.8,0.8,1479,1189
20-12-2016,0.84,0.84,0.84,0.84,250,210
14-12-2016,0.88,0.88,0.88,0.88,700,616
13-12-2016,0.88,0.88,0.88,0.88,4,3
12-12-2016,0.88,0.89,0.88,0.89,100,88
06-12-2016,0.9,0.9,0.9,0.9,15,13
05-12-2016,0.9,0.9,0.9,0.9,500,450
29-11-2016,0.96,0.96,0.91,0.91,1104,1024
28-11-2016,0.96,0.96,0.95,0.95,12065,11492
25-11-2016,0.93,0.93,0.93,0.93,264,245
24-11-2016,0.93,0.93,0.92,0.92,89,82
23-11-2016,0.9,0.9,0.9,0.9,65,58
21-11-2016,0.89,0.89,0.89,0.89,400,356
18-11-2016,0.92,0.92,0.9,0.9,182,167
17-11-2016,0.94,0.94,0.86,0.9,2973,2638
16-11-2016,0.9,0.9,0.9,0.9,1069,962
15-11-2016,0.92,0.92,0.86,0.86,171,150
11-11-2016,0.9,0.9,0.9,0.9,69,62
10-11-2016,0.87,0.89,0.87,0.89,10191,8866
09-11-2016,0.91,0.91,0.9,0.91,10001,9022
08-11-2016,0.88,0.88,0.87,0.88,137,120
07-11-2016,0.91,0.91,0.84,0.84,3593,3066
04-11-2016,0.88,0.88,0.84,0.88,9239,7990
03-11-2016,0.84,0.84,0.84,0.84,69,57
02-11-2016,0.8,0.8,0.77,0.8,285,224
01-11-2016,0.81,0.81,0.77,0.77,4239,3387
25-10-2016,0.78,0.78,0.78,0.78,87,67
24-10-2016,0.81,0.81,0.75,0.75,40165,30256
21-10-2016,0.78,0.78,0.78,0.78,6184,4823
