Date,Open,High,Low,Close,Volume,Turnover
31-01-2011,4633.3,4700.6,4593.9,4689.8,8490698,4179100000
01-02-2011,4705.8,4723.95,4598.1,4629.25,5790961,3700400000
02-02-2011,4643.65,4672.3,4603.25,4630.2,5623062,2547400000
03-02-2011,4618.95,4662.35,4605.4,4640.9,4922965,2126600000
04-02-2011,4637.85,4679.55,4557.1,4573.25,6773132,3107200000
07-02-2011,4550.4,4558.6,4490,4500.2,5803103,2472400000
08-02-2011,4541.7,4541.7,4411.45,4427.6,6750345,2793500000
09-02-2011,4422.9,4466.6,4354.7,4373.25,9354532,3834300000
10-02-2011,4358.45,4419.5,4356.8,4393.4,7895428,3237600000
11-02-2011,4387.8,4437.45,4367.85,4428.7,4377147,1901700000
14-02-2011,4436.65,4525.25,4432.35,4515.2,4611205,2130000000
15-02-2011,4520.95,4553.25,4449.55,4498.35,4467334,1994300000
16-02-2011,4485.7,4552.2,4433.25,4451.35,4267927,2075400000
17-02-2011,4458.75,4500.85,4437.6,4477.45,5523145,2351600000
18-02-2011,4479.85,4518.1,4456.95,4463.25,6440248,2872800000
21-02-2011,4460.6,4507.4,4427,4497.3,4625973,2094100000
22-02-2011,4489.45,4489.45,4432.65,4458.95,6059160,2821600000
23-02-2011,4459.85,4472.7,4418.95,4426.4,6249323,3164100000
24-02-2011,4412.9,4422.9,4274.25,4300.25,10849118,5109900000
25-02-2011,4337.3,4368.8,4300.8,4328.1,7225859,2951200000
28-02-2011,4338.45,4404.75,4317.8,4331.05,7068064,2822900000
01-03-2011,4334.6,4481.55,4334.6,4473.65,8783193,3522500000
03-03-2011,4458.9,4485.55,4425,4456.4,8573629,3469800000
04-03-2011,4481.85,4499.7,4438.1,4446.75,5779488,2354800000
07-03-2011,4433.65,4438.4,4375.35,4427.35,4257466,1926000000
08-03-2011,4440.95,4472.25,4432.45,4447.2,4465237,1968000000
09-03-2011,4451.75,4466.85,4394.3,4425.05,6081100,2869000000
10-03-2011,4424.2,4424.2,4386.25,4395.65,3933184,1876700000
11-03-2011,4384.9,4429.35,4345.2,4386.85,5449340,2251000000
14-03-2011,4381,4428.75,4364.7,4419.85,3764536,1789900000
15-03-2011,4379.95,4401.1,4307.3,4346.2,6075230,2809700000
16-03-2011,4359.45,4426,4359.45,4408.95,4312742,2404900000
17-03-2011,4377.85,4417.95,4363.65,4385.5,4368213,2076200000
18-03-2011,4405.8,4417.05,4331.15,4340,4930050,2158100000
21-03-2011,4352.4,4368.05,4336.35,4344.8,6084236,2708900000
22-03-2011,4347.2,4397.65,4347.2,4389.75,6559609,2707100000
23-03-2011,4396.9,4473.85,4393.55,4462.3,4686460,1916600000
24-03-2011,4469.25,4495.5,4454.45,4463.05,3923370,1780900000
25-03-2011,4501.55,4501.55,4468.55,4480.4,5661261,2505600000
28-03-2011,4477.6,4500.3,4426.85,4441.45,7869844,3512900000
29-03-2011,4433.4,4481.45,4422.35,4469.3,6425431,3093700000
30-03-2011,4491.3,4568,4490.75,4561,6990084,3242700000
31-03-2011,4569.25,4591.85,4503.65,4535.85,12171900,6059700000
01-04-2011,4541.5,4564.35,4524.95,4550.95,5867929,2748500000
04-04-2011,4573.45,4580.55,4552.15,4570.45,5085855,2374700000
05-04-2011,4583.5,4602.65,4558,4590.8,4310801,2007600000
06-04-2011,4588.75,4606.6,4567.4,4577.1,5392018,2542000000
07-04-2011,4581.8,4600.05,4575.8,4583.6,6074839,2626300000
08-04-2011,4592.2,4611.7,4571.2,4587.95,5238289,2531100000
11-04-2011,4608.25,4618.25,4575.35,4588.2,5284273,2469100000
13-04-2011,4589.75,4626.55,4555.25,4619,5040904,2441000000
15-04-2011,4621.15,4623,4577.7,4593.8,2723039,1569300000
18-04-2011,4597.85,4628.8,4540.75,4563.95,4328499,2153300000
19-04-2011,4555.25,4567.25,4526.6,4546.5,3165636,1460000000
20-04-2011,4560.65,4624.9,4548.2,4619,3514835,1697800000
21-04-2011,4622.95,4643.1,4598.9,4610.3,3110682,1486700000
25-04-2011,4613.2,4632.8,4603.9,4619.55,2944261,1590700000
26-04-2011,4622.6,4654.3,4567.3,4640.95,3490641,1718500000
27-04-2011,4640.2,4663.45,4631.05,4654.9,3435710,1657600000
28-04-2011,4649.6,4674,4624.35,4647.55,7940279,3506600000
29-04-2011,4662.7,4701.45,4656.75,4685.55,6370235,2732900000
02-05-2011,4711.55,4750.45,4699.95,4712.7,4043953,2297900000
03-05-2011,4701.35,4732.6,4629.85,4642.55,4086311,2040600000
04-05-2011,4642.1,4642.1,4558.9,4590.95,5767597,2944000000
05-05-2011,4560.15,4579.8,4488.8,4506.25,7311948,3237500000
06-05-2011,4498.35,4553.3,4492.9,4539.25,6892090,3016900000
09-05-2011,4551.1,4551.1,4500.85,4532,5779833,2402600000
10-05-2011,4532.6,4549.65,4501.2,4522.85,5709160,2477500000
11-05-2011,4520.25,4550.45,4506.8,4542.2,10968561,4889300000
12-05-2011,4517.7,4579.8,4502.75,4544.85,7519130,3505500000
13-05-2011,4545.95,4645.15,4519.9,4607.55,9497427,4719100000
16-05-2011,4608.35,4682.9,4608.35,4660.05,16581289,6728100000
17-05-2011,4663.2,4682.6,4633.35,4648.05,6864164,3104600000
18-05-2011,4654.85,4667.5,4572.65,4584.9,6282535,3007400000
19-05-2011,4593.65,4598.6,4551.05,4563.8,4202144,2082600000
20-05-2011,4571.6,4646.35,4557.2,4619.8,6226689,3398700000
23-05-2011,4610.45,4616.7,4520.7,4541.5,6356286,3270500000
24-05-2011,4552.15,4572.1,4541.8,4561.85,3857756,1710900000
25-05-2011,4557.8,4584.2,4539,4567,4500791,2156300000
26-05-2011,4573.95,4625.65,4557.1,4604.85,10465271,4979600000
27-05-2011,4600.95,4646.7,4600.95,4632.1,5404511,2511700000
30-05-2011,4647.2,4747.3,4647.2,4736.7,8839352,4259400000
31-05-2011,4755.15,4828.25,4755.15,4822.75,9797432,4644700000
01-06-2011,4810.8,4827.4,4781.95,4805.65,4441412,2162100000
02-06-2011,4783.65,4853.5,4765.05,4806.95,6030264,2748600000
03-06-2011,4807.8,4831.7,4749.35,4759.4,3622455,1960100000
06-06-2011,4757,4810.55,4754.85,4807.3,4507631,2049100000
07-06-2011,4797.35,4857.65,4797.35,4850.3,6047405,2763800000
08-06-2011,4848.45,4853.85,4787.55,4795.1,3609237,1786000000
09-06-2011,4804.05,4806.45,4757.8,4773.75,2482602,1212900000
10-06-2011,4783.25,4805.85,4755,4772.65,3580677,1849200000
13-06-2011,4756.6,4796.85,4746.15,4790.45,4953180,2622000000
14-06-2011,4794.45,4845.05,4794.45,4822.55,5768405,3082200000
15-06-2011,4810.85,4847.4,4808.4,4820.6,5969682,4003700000
16-06-2011,4792.25,4840.2,4792.25,4819.7,5057594,2597200000
17-06-2011,4803.6,4840.5,4741.15,4754.5,3957438,1947800000
20-06-2011,4758.95,4793.05,4598.4,4654.4,6672188,3099500000
21-06-2011,4661.1,4713.1,4653.8,4686.9,5001364,2842400000
22-06-2011,4709.05,4725.5,4669.35,4691.65,4699078,2245500000
23-06-2011,4675.95,4680.85,4623.1,4660.65,4187228,1819300000
