Date,Open,High,Low,Close,Volume,Turnover
03-10-2011,3530.5,3562.6,3512.45,3534.6,25146719,6080300000
04-10-2011,3515.6,3537.8,3440.3,3460.7,36338415,9192000000
05-10-2011,3473.2,3509.9,3452.85,3459.35,23377457,5659300000
07-10-2011,3521.75,3564.2,3513.1,3535.75,28238237,6481500000
10-10-2011,3514.8,3622.65,3514.8,3615.95,33825387,7652800000
11-10-2011,3637.95,3675.15,3637.95,3652.45,35175414,7943500000
12-10-2011,3650.95,3749.15,3613.5,3705.9,43607931,10056000000
13-10-2011,3724.1,3738.2,3647.45,3659.3,50810127,8174200000
14-10-2011,3639.65,3700.05,3638.6,3693.4,27150179,5861800000
17-10-2011,3720.65,3763.25,3711,3752.3,37169970,8809400000
18-10-2011,3715.4,3720,3662.75,3689.3,25003572,6318800000
19-10-2011,3730.45,3763.45,3730.45,3754.35,27323153,8857800000
20-10-2011,3726.9,3730.45,3653.05,3699.1,42436550,10188300000
21-10-2011,3724.15,3739.9,3683.65,3692.15,32110987,8356300000
24-10-2011,3740.35,3777.55,3736.2,3759.9,24802555,6208600000
25-10-2011,3779.6,3870.45,3744.45,3864.05,40247585,11042100000
26-10-2011,3880.9,3892.85,3865.6,3873.5,9560851,1757100000
28-10-2011,3951.35,4014.15,3951.35,3983.85,40571784,10388000000
31-10-2011,3966.35,3966.35,3930.95,3944.05,30644725,8517500000
01-11-2011,3916.2,3950.15,3848.8,3868.15,38015252,9010700000
02-11-2011,3839.5,3898.05,3832.65,3859.75,38284101,8960200000
03-11-2011,3853,3861.45,3809.05,3848.5,48260481,9612100000
04-11-2011,3897.4,3912.55,3837.7,3861.6,36366343,7529600000
08-11-2011,3877.05,3883.45,3836.05,3859.1,24449112,4915600000
09-11-2011,3874.25,3884,3783.3,3791.3,40605901,7287800000
11-11-2011,3786.05,3845.35,3777.05,3819,41814786,9403900000
14-11-2011,3842.65,3864,3724.9,3738.85,33262519,10316500000
15-11-2011,3720.7,3766.2,3667.2,3678.25,39278191,8833100000
16-11-2011,3687.65,3691.35,3634,3675.35,31683279,7566100000
17-11-2011,3667.8,3674.1,3595.5,3608.85,27016157,7250600000
18-11-2011,3581.65,3590.75,3520.95,3563.3,29683377,8724100000
21-11-2011,3544.15,3544.85,3464,3476.1,26864183,7706900000
22-11-2011,3495.65,3542,3456.35,3515.5,39015757,9592200000
23-11-2011,3498.6,3506.3,3424.85,3465.35,31054419,7784000000
24-11-2011,3455.35,3551.1,3423.25,3539.9,41302506,10205200000
25-11-2011,3514.7,3561.35,3479.65,3493,33610102,9400200000
28-11-2011,3528.5,3565.45,3524.05,3547.4,27649955,7336300000
29-11-2011,3548.95,3585.2,3519.85,3555.4,26786495,7915000000
30-11-2011,3536.5,3558.45,3499.7,3527.8,28916263,12057200000
01-12-2011,3614.35,3658.4,3594.55,3604.9,33635566,8608700000
02-12-2011,3603.75,3691.4,3594.95,3686.8,28004652,8297100000
05-12-2011,3675.8,3703.7,3667.75,3685.25,27448698,5195200000
07-12-2011,3688.85,3733.8,3688.85,3705.35,27276921,6643100000
08-12-2011,3701.95,3710.85,3624.8,3643.4,26532671,7187300000
09-12-2011,3596.05,3596.05,3534,3561.3,23971933,7010100000
12-12-2011,3592.85,3602.6,3457.7,3466.3,25318863,6575200000
13-12-2011,3440.8,3516.85,3440.8,3503.75,25581919,6385800000
14-12-2011,3488.3,3530.1,3443.45,3455.35,26892365,6986500000
15-12-2011,3422.8,3433.7,3363.2,3404.65,32195665,7355600000
16-12-2011,3416.2,3489.45,3348.3,3379.05,30415475,7769500000
19-12-2011,3368.65,3388.05,3332.5,3382,34598252,7640800000
20-12-2011,3390.1,3400.3,3292.7,3304.8,40747103,7533200000
21-12-2011,3362.55,3398.8,3326.6,3387.1,46943209,10072600000
22-12-2011,3336.65,3444.5,3336.65,3434.6,38221556,6495000000
23-12-2011,3464.8,3475.7,3428.2,3446.65,23703968,5151400000
26-12-2011,3454.7,3493.3,3447.85,3480.7,14482743,3731600000
27-12-2011,3480.35,3494.1,3442.3,3456.3,13603868,3456000000
28-12-2011,3453.85,3465.4,3401.3,3413.1,18154470,4571200000
29-12-2011,3394.25,3431.65,3383.5,3400.5,23983864,5475700000
30-12-2011,3411.85,3444.8,3376.3,3390.55,16985972,4324100000
02-01-2012,3413.35,3424.45,3310.7,3356.1,22326945,7773100000
03-01-2012,3379.1,3419.1,3367.8,3414.05,32469219,9619600000
04-01-2012,3416.9,3427.05,3363.6,3386.1,38500834,11013600000
05-01-2012,3385.85,3444.5,3383.15,3426.75,37421618,10499600000
06-01-2012,3404.75,3434.75,3372.65,3416,29367613,7941700000
07-01-2012,3423.3,3426.35,3406.8,3411.3,2062491,583600000
09-01-2012,3401,3403.3,3365.2,3395.85,20430258,5611800000
10-01-2012,3409.75,3498.05,3409.75,3493.55,30528827,7593700000
11-01-2012,3504.95,3512.55,3477.45,3503.95,30420429,7990700000
12-01-2012,3490.9,3547.55,3486.45,3529.85,24436224,6532100000
13-01-2012,3556.95,3572.75,3506.95,3531.7,33214129,8210000000
16-01-2012,3510.05,3563.75,3487.95,3557.8,33320538,8941800000
17-01-2012,3589.7,3657.15,3587.35,3643.15,40546510,13165000000
18-01-2012,3653.05,3653.35,3592.05,3600.15,39015729,12363100000
19-01-2012,3634.25,3660.3,3631.85,3637.5,40973497,11218600000
20-01-2012,3646.9,3682.15,3629.2,3664.2,40098535,13325300000
23-01-2012,3664.55,3686.75,3637.6,3677.95,28776148,9463900000
24-01-2012,3693.05,3739.05,3647.6,3730.45,39020597,11230200000
25-01-2012,3743.35,3795,3734.75,3775.4,45177223,12007600000
27-01-2012,3800.9,3825.65,3785.5,3818.55,46476630,14576700000
30-01-2012,3800.85,3803.6,3741.6,3749.75,34804605,9119500000
31-01-2012,3777.2,3849.25,3763.2,3836.5,35098709,10225400000
01-02-2012,3846.95,3924.1,3846.15,3910,56980531,14191400000
02-02-2012,3950.25,3956.55,3899.4,3922.5,53373271,12599300000
03-02-2012,3932.4,3961.65,3903.9,3944.4,48192864,10040500000
06-02-2012,3981.75,4011.75,3954.8,3985.3,39616410,8380400000
07-02-2012,4013.15,4013.15,3925.15,3940.95,37564084,9902600000
08-02-2012,3940,3991.6,3912,3969.15,37569393,9532800000
09-02-2012,3960,4053.2,3955.95,4040.8,41391121,10629800000
10-02-2012,4034.85,4078.25,4000.5,4031.2,42611013,9910200000
13-02-2012,4034.9,4088.15,4034.45,4068.65,31325768,7997000000
14-02-2012,4073.3,4181.55,4073.3,4154.2,43837354,11637800000
15-02-2012,4217.3,4331.5,4214.75,4293.95,82652995,19514300000
16-02-2012,4263.9,4312.7,4221.25,4296.45,53753500,13833900000
17-02-2012,4336.55,4350.15,4268.75,4277.95,47680866,12282300000
21-02-2012,4280.85,4311.75,4267.45,4290.45,39873748,11108600000
22-02-2012,4289.15,4327.7,4210.15,4229.3,42319658,11185000000
23-02-2012,4218.9,4244.45,4169.95,4189.25,42810378,11142300000
24-02-2012,4209.6,4240.2,4152.85,4169.85,24218845,6450900000
27-02-2012,4185.95,4185.95,4004.95,4034.1,26392895,7695400000
28-02-2012,4057.5,4172.55,4057.5,4160.05,30280042,8933700000
29-02-2012,4186.55,4234.5,4120.3,4159.4,35837385,9237300000
01-03-2012,4154.85,4178.05,4081.55,4115.7,27932013,10366800000
02-03-2012,4149.15,4160,4093.5,4114.6,33297083,9659000000
03-03-2012,4116.65,4119.6,4103.1,4105.8,2216125,395900000
05-03-2012,4094.8,4108.65,4059.7,4089.8,29354535,8774200000
06-03-2012,4081.85,4177.2,4049.2,4066.9,28402894,9266600000
07-03-2012,4062.9,4091.3,4042.9,4071.95,22059768,7118200000
09-03-2012,4123.35,4171.6,4118.8,4165,29793428,8870500000
12-03-2012,4191.7,4205.75,4144.1,4193.9,30311094,8670600000
13-03-2012,4209.25,4235.7,4189.4,4194.35,24077275,8582200000
14-03-2012,4229.2,4281.9,4225.3,4237.25,25254653,8926800000
15-03-2012,4234.8,4234.8,4173.55,4209,23205463,6780500000
16-03-2012,4196.75,4310.3,4152.05,4215.4,37113278,13613500000
19-03-2012,4225.15,4249.65,4187.7,4197.05,26742108,7443000000
20-03-2012,4198.1,4218.5,4105.35,4132.1,30568519,9533600000
21-03-2012,4134.75,4198.9,4104.45,4192.2,38021980,10693900000
22-03-2012,4179.2,4231.15,4104.3,4118.75,67972925,10485600000
23-03-2012,4121.2,4177.75,4074.55,4147.75,28371001,8560800000
26-03-2012,4151.3,4151.3,4079.8,4093,28222724,7398500000
27-03-2012,4134.75,4139.9,4061.1,4106.95,32268937,7800500000
28-03-2012,4100.25,4103.35,4066.5,4083.95,19856527,5780700000
29-03-2012,4062.4,4116.85,4043.55,4105.95,34654660,9145800000
30-03-2012,4126.1,4222.75,4115.85,4207,27793435,6609400000
02-04-2012,4244.5,4247.9,4193.6,4216.3,26359974,6241200000
03-04-2012,4234.1,4243.7,4200.35,4209.95,27658857,5802000000
